35.5288654215,139.2724587212,19.8390000000
35.5288654227,139.2724587064,19.8540000000
35.5288654285,139.2724586838,19.9350000000
35.5288654391,139.2724586488,20.0420000000
35.5288654554,139.2724586003,20.2250000000
35.5288655034,139.2724584512,20.0570000000
35.5288658742,139.2724571495,20.0930000000
35.5288677416,139.2724510539,19.9220000000
35.5288699870,139.2724448088,20.2550000000
35.5288786002,139.2724233173,20.0550000000
35.5288847880,139.2724135842,20.1410000000
35.5288867875,139.2724082528,19.9950000000
35.5288883536,139.2724019594,20.2280000000
35.5288910027,139.2723967713,20.2990000000
35.5288933951,139.2723917097,20.0990000000
35.5288964148,139.2723859370,20.0390000000
35.5288981316,139.2723815729,20.3210000000
35.5289007739,139.2723761390,20.0210000000
35.5289032349,139.2723709812,20.2590000000
35.5289054202,139.2723655929,20.4100000000
35.5289084196,139.2723603780,20.2880000000
35.5289117163,139.2723555885,20.1740000000
35.5289146283,139.2723503109,19.9500000000
35.5289160378,139.2723446884,20.1920000000
35.5289193172,139.2723394737,20.1150000000
35.5289215994,139.2723345297,20.2330000000
35.5289240134,139.2723293834,20.0700000000
35.5289279871,139.2723240771,19.8420000000
35.5289288725,139.2723194208,20.1930000000
35.5289303378,139.2723136710,20.3980000000
35.5289330243,139.2723082951,20.2780000000
35.5289360995,139.2723031441,20.0100000000
35.5289397245,139.2722983059,20.4710000000
35.5289419388,139.2722928997,20.3450000000
35.5289439468,139.2722877164,20.4590000000
35.5289466784,139.2722825252,20.6270000000
35.5289493407,139.2722764918,20.4700000000
35.5289456587,139.2722531622,24.3830000000
35.5289427547,139.2722591001,21.8690000000
35.5289409681,139.2722630764,22.2920000000
35.5289381780,139.2722678900,22.5400000000
35.5289356084,139.2722737620,22.8800000000
35.5289333080,139.2722787363,22.3040000000
35.5289307609,139.2722841960,22.2350000000
35.5289284655,139.2722895701,22.7430000000
35.5289257805,139.2722945025,22.2350000000
35.5289226473,139.2723006239,22.2030000000
35.5289197335,139.2723063762,22.6140000000
35.5289173818,139.2723114975,22.5360000000
35.5289150452,139.2723167908,22.8480000000
35.5289122722,139.2723226012,22.7970000000
35.5289093728,139.2723280712,22.8550000000
35.5289069239,139.2723327846,22.7580000000
